date,province,district_or_city,scenario,rainfall_mm
1980-01,Sindh,Karachi,historical,66.7
1980-02,Sindh,Karachi,historical,68.9
1980-03,Sindh,Karachi,historical,92.6
1980-04,Sindh,Karachi,historical,91.4
1980-05,Sindh,Karachi,historical,88.3
1980-06,Sindh,Karachi,historical,81.5
1980-07,Sindh,Karachi,historical,69.5
1980-08,Sindh,Karachi,historical,63.9
1980-09,Sindh,Karachi,historical,50.5
1980-10,Sindh,Karachi,historical,42.8
1980-11,Sindh,Karachi,historical,39.7
1980-12,Sindh,Karachi,historical,47.0
1981-01,Sindh,Karachi,historical,69.6
1981-02,Sindh,Karachi,historical,90.8
1981-03,Sindh,Karachi,historical,90.4
1981-04,Sindh,Karachi,historical,92.7
1981-05,Sindh,Karachi,historical,94.2
1981-06,Sindh,Karachi,historical,69.3
1981-07,Sindh,Karachi,historical,65.3
1981-08,Sindh,Karachi,historical,58.7
1981-09,Sindh,Karachi,historical,52.2
1981-10,Sindh,Karachi,historical,40.1
1981-11,Sindh,Karachi,historical,48.4
1981-12,Sindh,Karachi,historical,56.8
1982-01,Sindh,Karachi,historical,73.8
1982-02,Sindh,Karachi,historical,71.9
1982-03,Sindh,Karachi,historical,94.5
1982-04,Sindh,Karachi,historical,81.7
1982-05,Sindh,Karachi,historical,69.6
1982-06,Sindh,Karachi,historical,75.9
1982-07,Sindh,Karachi,historical,60.6
1982-08,Sindh,Karachi,historical,61.7
1982-09,Sindh,Karachi,historical,50.6
1982-10,Sindh,Karachi,historical,32.5
1982-11,Sindh,Karachi,historical,52.0
1982-12,Sindh,Karachi,historical,47.0
1983-01,Sindh,Karachi,historical,67.1
1983-02,Sindh,Karachi,historical,78.3
1983-03,Sindh,Karachi,historical,90.9
1983-04,Sindh,Karachi,historical,99.9
1983-05,Sindh,Karachi,historical,95.0
1983-06,Sindh,Karachi,historical,83.3
1983-07,Sindh,Karachi,historical,72.8
1983-08,Sindh,Karachi,historical,58.6
1983-09,Sindh,Karachi,historical,40.5
1983-10,Sindh,Karachi,historical,36.4
1983-11,Sindh,Karachi,historical,41.8
1983-12,Sindh,Karachi,historical,58.7
1984-01,Sindh,Karachi,historical,65.8
1984-02,Sindh,Karachi,historical,98.8
1984-03,Sindh,Karachi,historical,83.6
1984-04,Sindh,Karachi,historical,84.9
1984-05,Sindh,Karachi,historical,96.0
1984-06,Sindh,Karachi,historical,91.7
1984-07,Sindh,Karachi,historical,71.7
1984-08,Sindh,Karachi,historical,61.4
1984-09,Sindh,Karachi,historical,56.5
1984-10,Sindh,Karachi,historical,41.2
1984-11,Sindh,Karachi,historical,34.3
1984-12,Sindh,Karachi,historical,50.7
1985-01,Sindh,Karachi,historical,75.1
1985-02,Sindh,Karachi,historical,69.4
1985-03,Sindh,Karachi,historical,90.3
1985-04,Sindh,Karachi,historical,95.4
1985-05,Sindh,Karachi,historical,87.6
1985-06,Sindh,Karachi,historical,86.2
1985-07,Sindh,Karachi,historical,72.2
1985-08,Sindh,Karachi,historical,72.9
1985-09,Sindh,Karachi,historical,50.3
1985-10,Sindh,Karachi,historical,37.2
1985-11,Sindh,Karachi,historical,41.1
1985-12,Sindh,Karachi,historical,48.4
1986-01,Sindh,Karachi,historical,75.1
1986-02,Sindh,Karachi,historical,76.2
1986-03,Sindh,Karachi,historical,89.5
1986-04,Sindh,Karachi,historical,99.3
1986-05,Sindh,Karachi,historical,84.4
1986-06,Sindh,Karachi,historical,78.3
1986-07,Sindh,Karachi,historical,53.4
1986-08,Sindh,Karachi,historical,46.4
1986-09,Sindh,Karachi,historical,41.0
1986-10,Sindh,Karachi,historical,45.2
1986-11,Sindh,Karachi,historical,54.7
1986-12,Sindh,Karachi,historical,54.7
1987-01,Sindh,Karachi,historical,69.8
1987-02,Sindh,Karachi,historical,81.9
1987-03,Sindh,Karachi,historical,98.5
1987-04,Sindh,Karachi,historical,100.4
1987-05,Sindh,Karachi,historical,92.2
1987-06,Sindh,Karachi,historical,72.7
1987-07,Sindh,Karachi,historical,74.8
1987-08,Sindh,Karachi,historical,57.8
1987-09,Sindh,Karachi,historical,55.0
1987-10,Sindh,Karachi,historical,41.7
1987-11,Sindh,Karachi,historical,60.6
1987-12,Sindh,Karachi,historical,52.1
1988-01,Sindh,Karachi,historical,80.1
1988-02,Sindh,Karachi,historical,81.5
1988-03,Sindh,Karachi,historical,86.0
1988-04,Sindh,Karachi,historical,84.7
1988-05,Sindh,Karachi,historical,88.9
1988-06,Sindh,Karachi,historical,91.7
1988-07,Sindh,Karachi,historical,74.1
1988-08,Sindh,Karachi,historical,60.2
1988-09,Sindh,Karachi,historical,26.9
1988-10,Sindh,Karachi,historical,47.5
1988-11,Sindh,Karachi,historical,49.8
1988-12,Sindh,Karachi,historical,50.6
1989-01,Sindh,Karachi,historical,62.8
1989-02,Sindh,Karachi,historical,80.6
1989-03,Sindh,Karachi,historical,103.5
1989-04,Sindh,Karachi,historical,85.3
1989-05,Sindh,Karachi,historical,86.7
1989-06,Sindh,Karachi,historical,91.2
1989-07,Sindh,Karachi,historical,64.3
1989-08,Sindh,Karachi,historical,52.0
1989-09,Sindh,Karachi,historical,46.2
1989-10,Sindh,Karachi,historical,32.3
